product_name,main_category,rating,discounted_price
"RESONATE RouterUPS CRU12V2A | Zero Drop | UPS for WiFi Router | Mini UPS | Up to 4 Hours PowerBackup | Battery Replacement Program | Router UPS Compatible with 12V <2A RoutersNA FTTHNA ModemNA Set Top BoxNA AlexaNA Mini Camera",Computers&Accessories,4.3,1799
"Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31S M30 S10 S9 S20 PlusNA Note 10 9 8NA A20e A40 A50 A70 (2MNA Grey)",Computers&Accessories,4.3,389
"Synqe USB Type C Fast Charging Cable 2M Charger Cord Data Cable Compatible with Samsung Galaxy M51NAGalaxy M31SNA S10e S10 S9 S20 PlusNA Note10 9 8NAM40 A50 A70NA Redmi Note 9NA Moto G7NA Poco F1 (2MNA Grey)",Computers&Accessories,4.3,379
"SanDisk Ultra Dual 64 GB USB 3.0 OTG Pen Drive (Black)",Computers&Accessories,4.3,579
"Synqe USB C to USB C 60W Nylon Braided Fast Charging Type C to Type C Cable Compatible with Samsung Galaxy Note 20/UltraNA S20 S22 S21 S20 FE A73 A53 A33 (2MNA Black)",Computers&Accessories,4.3,389
"Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey)",Computers&Accessories,4.3,154
"MI Usb Type-C Cable Smartphone (Black)",Computers&Accessories,4.3,229
"Synqe Type C to Type C Short Fast Charging 60W Cable Compatible with Samsung Galaxy Z Fold3 5GNA Z Flip3 5GNA S22 5GNA S22 UltraNA S21NA S20NA S20FENA A52NA A73NA A53 (0.25MNA Black)",Computers&Accessories,4.3,349
"boAt Type-c A400 Type-c to USB A Cable for All Type C Phones (Lg nexus 5x)NA 1Mtr(Black)",Computers&Accessories,4.3,349
"Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey)",Computers&Accessories,4.3,154
"Brand Conquer 6 in 1 with OTGNA SD Card ReaderNA USB Type CNA USB 3.0 and Micro USBNA for Memory Card | Portable Card Reader | Compatible with TFNA SDNA Micro SDNA SDHCNA SDXCNA MMCNA RS-MMCNA Micro SDXC",Computers&Accessories,4.3,549
"Storite USB Extension Cable USB 3.0 Male to Female Extension Cable High Speed 5GBps Extension Cable Data Transfer for KeyboardNA MouseNA Flash DriveNA Hard DriveNA Printer and More- 1.5M - Blue",Computers&Accessories,4.3,299
"Logitech B100 Wired USB MouseNA 3 yr WarrantyNA 800 DPI Optical TrackingNA Ambidextrous PC/Mac/Laptop - Black",Computers&Accessories,4.3,279
"boAt A400 USB Type-C to USB-A 2.0 Male Data CableNA 2 Meter (Black)",Computers&Accessories,4.3,299
"Logitech C270 Digital HD Webcam with Widescreen HD Video CallingNA HD Light CorrectionNA Noise-Reducing MicNA for SkypeNA FaceTimeNA HangoutsNA WebExNA PC/Mac/Laptop/MacBook/Tablet - (BlackNA HD 720p/30fps)",Computers&Accessories,4.3,1990
"TP-Link USB Bluetooth Adapter for PCNA 5.0 Bluetooth Dongle Receiver (UB500) Supports Windows 11/10/8.1/7 for DesktopNA LaptopNA MouseNA KeyboardNA PrintersNA HeadsetsNA SpeakersNA PS4/ Xbox Controllers",Computers&Accessories,4.3,599
"STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand (Black)",Computers&Accessories,4.3,349
"SanDisk Ultra Dual Drive Luxe USB Type C Flash Drive (SilverNA 128 GBNA 5Y - SDDDC4-128G-I35)",Computers&Accessories,4.3,1299
"Zoul USB Type C Fast Charging 3A Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31s M30 S10 S9 S20 PlusNA Note 10 9 8NA A20e A40 A50 A70 (1MNA Grey)",Computers&Accessories,4.3,339
"Redgear A-15 Wired Gaming Mouse with Upto 6400 DPINA RGB & Driver Customization for PC(Black)",Computers&Accessories,4.3,599
"Portronics MPORT 31 4 Ports USB Hub (USB A to 4 USB-A Ports 4 in 1 Connector USB HUB(Grey)",Computers&Accessories,4.3,499
"rts [2 Pack] Mini USB C Type C Adapter PlugNA Type C Female to USB A Male Charger Charging Cable Adapter Converter compatible for iPhoneNA Samsung S20 ultra/S21/S10/S8/S9/MacBook Pro iPad Silver",Computers&Accessories,4.3,294
"AirCase Protective Laptop Bag Sleeve fits Upto 15.6" Laptop/ MacBookNA Wrinkle FreeNA PaddedNA Waterproof Light Neoprene case Cover PouchNA for Men & WomenNA Black- 6 Months Warranty"",Computers&Accessories,4.3,449
"MI Xiaomi USB Type C HYperCharge Cable 6A 100cm Sturdy and Durable Black Supports 120W HyperCharging",Computers&Accessories,4.3,499
"HP X1000 Wired USB Mouse with 3 Handy ButtonsNA Fast-Moving Scroll Wheel and Optical Sensor works on most Surfaces (H2C21AANA Black/Grey)",Computers&Accessories,4.3,269
"SanDisk Ultra 128 GB USB 3.0 Pen Drive (Black)",Computers&Accessories,4.3,889
"Dell KB216 Wired Multimedia USB Keyboard with Super Quite Plunger Keys with Spill-Resistant ? Black",Computers&Accessories,4.3,549
"SanDisk Cruzer Blade 32GB USB Flash Drive",Computers&Accessories,4.3,289
"Gizga Essentials Webcam CoverNA Privacy Protector Webcam Cover SlideNA Compatible with LaptopNA DesktopNA PCNA SmartphoneNA Protect Your Privacy and SecurityNA Strong AdhesiveNA Set of 3NA Black",Computers&Accessories,4.3,69
